"filename", "language", "Python", "comment", "blank", "total"
"e:\Deeponomics\src\crud.py", "Python", 31, 0, 3, 34
"e:\Deeponomics\src\main.py", "Python", 3, 0, 0, 3
"e:\Deeponomics\src\models.py", "Python", 77, 0, 26, 103
"e:\Deeponomics\src\schemas.py", "Python", 27, 0, 5, 32
"Total", "-", 138, 0, 34, 172
