"filename", "language", "Python", "comment", "blank", "total"
"e:\Deeponomics\src\__init__.py", "Python", 0, 0, -1, -1
"e:\Deeponomics\src\crud.py", "Python", -344, -26, -66, -436
"e:\Deeponomics\src\database.py", "Python", -17, 0, -5, -22
"e:\Deeponomics\src\gui_main.py", "Python", -10, -1, -2, -13
"e:\Deeponomics\src\main.py", "Python", -180, -5, -28, -213
"e:\Deeponomics\src\models.py", "Python", -70, -5, -21, -96
"e:\Deeponomics\src\schemas.py", "Python", -53, -2, -15, -70
"e:\Deeponomics\src\services\order_matching.py", "Python", -234, -13, -53, -300
"Total", "-", -908, -52, -191, -1151
